Automatic trading on BTCUSDT.log
++++++++++++++++++++++++++++
{'out_dir': '/home/rheremans/Repos/CryptoMadeira/source/scripts/../outputs/automatic_trade', 'filename_out': '02_auto_trade_auto_sell_BTCUSDT', 'symbol': 'BTC/USDT', 'tolerance': 150, 'current_trend': 1, 'min_sell_price': 29000.0, 'min_sell_price_reached': 0, 'manual_price_input': 0, 'print_precision': 2, 'action_flag': 'IDLE', 'filled_flag': 0, 'static_transaction_amount': 0.1, 'buy_price': 27931.2, 'mav': 1, 'usdt_at_start': 7342.8225842, 'v_stack': [27931.2], 'v_min': 27931.2, 'v_max': 27931.2}
2023-04-06 13:36:19, Price=27931.20, v_min=27931.20, v_max=27931.20, trend=1
2023-04-06 13:52:04, Price=27879.35, v_min=(27931.20,-51.85), v_max=(27945.29,65.94), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27879.35]
2023-04-06 13:52:19, Price=27882.60, v_min=(27931.20,-48.60), v_max=(27945.29,62.69), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27882.6]
2023-04-06 13:52:34, Price=27883.70, v_min=(27931.20,-47.50), v_max=(27945.29,61.59), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27883.7]
2023-04-06 13:52:49, Price=27883.37, v_min=(27931.20,-47.83), v_max=(27945.29,61.92), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27883.37]
2023-04-06 13:53:04, Price=27874.42, v_min=(27931.20,-56.78), v_max=(27945.29,70.87), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27874.42]
2023-04-06 13:53:18, Price=27874.42, v_min=(27931.20,-56.78), v_max=(27945.29,70.87), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27874.42]
2023-04-06 13:53:34, Price=27882.39, v_min=(27931.20,-48.81), v_max=(27945.29,62.90), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27882.39]
2023-04-06 13:53:48, Price=27879.18, v_min=(27931.20,-52.02), v_max=(27945.29,66.11), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27879.18]
2023-04-06 13:54:04, Price=27889.65, v_min=(27931.20,-41.55), v_max=(27945.29,55.64), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27889.65]
2023-04-06 13:54:20, Price=27893.43, v_min=(27931.20,-37.77), v_max=(27945.29,51.86), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27893.43]
2023-04-06 13:54:34, Price=27896.07, v_min=(27931.20,-35.13), v_max=(27945.29,49.22), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27896.07]
2023-04-06 13:54:49, Price=27894.05, v_min=(27931.20,-37.15), v_max=(27945.29,51.24), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27894.05]
2023-04-06 13:55:04, Price=27894.90, v_min=(27931.20,-36.30), v_max=(27945.29,50.39), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27894.9]
2023-04-06 13:55:18, Price=27894.90, v_min=(27931.20,-36.30), v_max=(27945.29,50.39), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27894.9]
2023-04-06 13:55:33, Price=27899.94, v_min=(27931.20,-31.26), v_max=(27945.29,45.35), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27899.94]
2023-04-06 13:55:48, Price=27899.95, v_min=(27931.20,-31.25), v_max=(27945.29,45.34), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27899.95]
2023-04-06 13:56:03, Price=27890.01, v_min=(27931.20,-41.19), v_max=(27945.29,55.28), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27890.01]
2023-04-06 13:56:19, Price=27888.48, v_min=(27931.20,-42.72), v_max=(27945.29,56.81), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27888.48]
2023-04-06 13:56:34, Price=27884.35, v_min=(27931.20,-46.85), v_max=(27945.29,60.94), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27884.35]
2023-04-06 13:56:49, Price=27886.76, v_min=(27931.20,-44.44), v_max=(27945.29,58.53), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27886.76]
2023-04-06 13:57:04, Price=27894.51, v_min=(27931.20,-36.69), v_max=(27945.29,50.78), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27894.51]
2023-04-06 13:57:18, Price=27886.31, v_min=(27931.20,-44.89), v_max=(27945.29,58.98), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27886.31]
2023-04-06 13:57:33, Price=27900.00, v_min=(27931.20,-31.20), v_max=(27945.29,45.29), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27900.0]
2023-04-06 13:57:48, Price=27906.80, v_min=(27931.20,-24.40), v_max=(27945.29,38.49), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27906.8]
2023-04-06 13:58:04, Price=27903.96, v_min=(27931.20,-27.24), v_max=(27945.29,41.33), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27903.96]
2023-04-06 13:58:19, Price=27906.81, v_min=(27931.20,-24.39), v_max=(27945.29,38.48), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27906.81]
2023-04-06 13:58:34, Price=27905.59, v_min=(27931.20,-25.61), v_max=(27945.29,39.70), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27905.59]
2023-04-06 13:58:49, Price=27905.88, v_min=(27931.20,-25.32), v_max=(27945.29,39.41), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27905.88]
2023-04-06 13:59:04, Price=27905.88, v_min=(27931.20,-25.32), v_max=(27945.29,39.41), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27905.88]
2023-04-06 13:59:19, Price=27889.74, v_min=(27931.20,-41.46), v_max=(27945.29,55.55), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27889.74]
2023-04-06 13:59:34, Price=27893.13, v_min=(27931.20,-38.07), v_max=(27945.29,52.16), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27893.13]
2023-04-06 13:59:49, Price=27903.73, v_min=(27931.20,-27.47), v_max=(27945.29,41.56), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27903.73]
2023-04-06 14:00:04, Price=27896.40, v_min=(27931.20,-34.80), v_max=(27945.29,48.89), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27896.4]
2023-04-06 14:00:19, Price=27908.17, v_min=(27931.20,-23.03), v_max=(27945.29,37.12), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27908.17]
2023-04-06 14:00:34, Price=27909.89, v_min=(27931.20,-21.31), v_max=(27945.29,35.40), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27909.89]
2023-04-06 14:00:49, Price=27911.82, v_min=(27931.20,-19.38), v_max=(27945.29,33.47), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27911.82]
2023-04-06 14:01:05, Price=27911.82, v_min=(27931.20,-19.38), v_max=(27945.29,33.47), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27911.82]
2023-04-06 14:01:18, Price=27911.82, v_min=(27931.20,-19.38), v_max=(27945.29,33.47), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27911.82]
2023-04-06 14:01:33, Price=27911.83, v_min=(27931.20,-19.37), v_max=(27945.29,33.46), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27911.83]
2023-04-06 14:01:48, Price=27911.83, v_min=(27931.20,-19.37), v_max=(27945.29,33.46), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27911.83]
2023-04-06 14:02:03, Price=27911.67, v_min=(27931.20,-19.53), v_max=(27945.29,33.62), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27911.67]
2023-04-06 14:02:19, Price=27912.70, v_min=(27931.20,-18.50), v_max=(27945.29,32.59), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27912.7]
2023-04-06 14:02:34, Price=27896.70, v_min=(27931.20,-34.50), v_max=(27945.29,48.59), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27896.7]
2023-04-06 14:02:49, Price=27889.48, v_min=(27931.20,-41.72), v_max=(27945.29,55.81), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27889.48]
2023-04-06 14:03:04, Price=27889.48, v_min=(27931.20,-41.72), v_max=(27945.29,55.81), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27889.48]
2023-04-06 14:03:19, Price=27891.33, v_min=(27931.20,-39.87), v_max=(27945.29,53.96), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27891.33]
2023-04-06 14:03:35, Price=27878.89, v_min=(27931.20,-52.31), v_max=(27945.29,66.40), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27878.89]
2023-04-06 14:03:49, Price=27875.50, v_min=(27931.20,-55.70), v_max=(27945.29,69.79), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27875.5]
2023-04-06 14:04:04, Price=27890.75, v_min=(27931.20,-40.45), v_max=(27945.29,54.54), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27890.75]
2023-04-06 14:04:19, Price=27892.24, v_min=(27931.20,-38.96), v_max=(27945.29,53.05), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27892.24]
2023-04-06 14:04:34, Price=27892.53, v_min=(27931.20,-38.67), v_max=(27945.29,52.76), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27892.53]
2023-04-06 14:04:49, Price=27895.49, v_min=(27931.20,-35.71), v_max=(27945.29,49.80), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27895.49]
2023-04-06 14:05:04, Price=27889.87, v_min=(27931.20,-41.33), v_max=(27945.29,55.42), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27889.87]
2023-04-06 14:05:18, Price=27906.54, v_min=(27931.20,-24.66), v_max=(27945.29,38.75), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27906.54]
2023-04-06 14:05:34, Price=27906.53, v_min=(27931.20,-24.67), v_max=(27945.29,38.76), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27906.53]
2023-04-06 14:05:49, Price=27906.53, v_min=(27931.20,-24.67), v_max=(27945.29,38.76), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27906.53]
2023-04-06 14:06:04, Price=27906.07, v_min=(27931.20,-25.13), v_max=(27945.29,39.22), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27906.07]
2023-04-06 14:06:19, Price=27907.96, v_min=(27931.20,-23.24), v_max=(27945.29,37.33), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27907.96]
2023-04-06 14:06:34, Price=27908.16, v_min=(27931.20,-23.04), v_max=(27945.29,37.13), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27908.16]
2023-04-06 14:06:49, Price=27906.65, v_min=(27931.20,-24.55), v_max=(27945.29,38.64), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27906.65]
2023-04-06 14:07:04, Price=27907.48, v_min=(27931.20,-23.72), v_max=(27945.29,37.81), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27907.48]
2023-04-06 14:07:18, Price=27907.48, v_min=(27931.20,-23.72), v_max=(27945.29,37.81), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27907.48]
2023-04-06 14:07:33, Price=27902.83, v_min=(27931.20,-28.37), v_max=(27945.29,42.46), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27902.83]
2023-04-06 14:07:48, Price=27902.84, v_min=(27931.20,-28.36), v_max=(27945.29,42.45), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27902.84]
2023-04-06 14:08:04, Price=27904.59, v_min=(27931.20,-26.61), v_max=(27945.29,40.70), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27904.59]
2023-04-06 14:08:19, Price=27904.39, v_min=(27931.20,-26.81), v_max=(27945.29,40.90), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27904.39]
2023-04-06 14:08:34, Price=27904.40, v_min=(27931.20,-26.80), v_max=(27945.29,40.89), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27904.4]
2023-04-06 14:08:49, Price=27904.40, v_min=(27931.20,-26.80), v_max=(27945.29,40.89), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27904.4]
2023-04-06 14:09:04, Price=27905.99, v_min=(27931.20,-25.21), v_max=(27945.29,39.30), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27905.99]
2023-04-06 14:09:19, Price=27906.00, v_min=(27931.20,-25.20), v_max=(27945.29,39.29), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27906.0]
2023-04-06 14:09:34, Price=27905.99, v_min=(27931.20,-25.21), v_max=(27945.29,39.30), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27905.99]
2023-04-06 14:09:50, Price=27907.90, v_min=(27931.20,-23.30), v_max=(27945.29,37.39), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27907.9]
2023-04-06 14:10:05, Price=27899.91, v_min=(27931.20,-31.29), v_max=(27945.29,45.38), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27899.91]
2023-04-06 14:10:18, Price=27895.99, v_min=(27931.20,-35.21), v_max=(27945.29,49.30), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[27895.99]
