Automatic trading on ETHEUR.log
++++++++++++++++++++++++++++
{'out_dir': '/home/rheremans/Repos/CryptoMadeira/source/scripts/../outputs/automatic_trade', 'filename_out': '05_auto_trade_auto_sell_ETHEUR', 'symbol': 'ETH/EUR', 'tolerance': 5, 'current_trend': 1, 'min_sell_price': 1725, 'min_sell_price_reached': 0, 'manual_price_input': 0, 'print_precision': 2, 'action_flag': 'IDLE', 'filled_flag': 0, 'static_transaction_amount': 2.0, 'buy_price': 1720.36, 'mav': 1, 'usdt_at_start': 7342.8225842, 'v_stack': [1720.36], 'v_min': 1720.36, 'v_max': 1720.36}
2023-04-10 16:42:35, Price=1720.36, v_min=1720.36, v_max=1720.36, trend=1
2023-04-10 16:55:05, Price=1717.78, v_min=(1720.36,-2.58), v_max=(1721.97,4.19), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.78]
2023-04-10 16:55:20, Price=1717.40, v_min=(1720.36,-2.96), v_max=(1721.97,4.57), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.4]
2023-04-10 16:55:36, Price=1717.84, v_min=(1720.36,-2.52), v_max=(1721.97,4.13), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.84]
2023-04-10 16:55:50, Price=1717.85, v_min=(1720.36,-2.51), v_max=(1721.97,4.12), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.85]
2023-04-10 16:56:05, Price=1717.81, v_min=(1720.36,-2.55), v_max=(1721.97,4.16), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.81]
2023-04-10 16:56:20, Price=1717.64, v_min=(1720.36,-2.72), v_max=(1721.97,4.33), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.64]
2023-04-10 16:56:36, Price=1717.52, v_min=(1720.36,-2.84), v_max=(1721.97,4.45), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.52]
2023-04-10 16:56:51, Price=1717.52, v_min=(1720.36,-2.84), v_max=(1721.97,4.45), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.52]
2023-04-10 16:57:05, Price=1717.74, v_min=(1720.36,-2.62), v_max=(1721.97,4.23), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.74]
2023-04-10 16:57:20, Price=1717.30, v_min=(1720.36,-3.06), v_max=(1721.97,4.67), trend= 1, action=idle, min_sell_price_reached=0, v_stack=[1717.3]
