Datetime,BTCUSDT,ETHUSDT,MATICUSDT,MANAUSDT
2023-03-28 16:37:02,27058.03,1745.59,1.0654,0.5682
2023-03-28 16:38:02,27054.77,1745.3,1.0658,0.5681
2023-03-28 16:39:02,27060.58,1745.1,1.0656,0.5684
2023-03-28 16:40:02,27066.01,1745.67,1.0662,0.5684
2023-03-28 16:41:03,27039.24,1744.22,1.0644,0.5675
2023-03-28 16:42:03,27048.98,1745.16,1.0644,0.568
2023-03-28 16:43:03,27045.92,1744.92,1.0641,0.5678
2023-03-28 16:44:02,27040.98,1744.97,1.0639,0.568
2023-03-28 16:45:02,27019.99,1743.45,1.0628,0.5673
2023-03-28 16:46:02,27006.99,1743.12,1.0617,0.5672
2023-03-28 16:47:02,26982.65,1741.44,1.0601,0.5665
2023-03-28 16:48:02,26950.29,1739.43,1.059,0.5656
2023-03-28 16:49:03,26949.99,1739.65,1.0585,0.5652
2023-03-28 16:50:02,26962.78,1740.18,1.0591,0.5659
2023-03-28 16:51:02,26938.95,1739.76,1.0587,0.5657
2023-03-28 16:52:03,26981.87,1742.07,1.061,0.5672
2023-03-28 16:53:02,26974.39,1741.43,1.0607,0.5672
2023-03-28 16:54:02,26971.15,1740.88,1.0602,0.5669
2023-03-28 16:55:02,26980.78,1741.61,1.0607,0.567
2023-03-28 16:56:02,26971.16,1741.7,1.0607,0.5673
2023-03-28 16:57:02,26964.59,1741.63,1.0604,0.5673
2023-03-28 16:58:02,26969.43,1742.11,1.0605,0.5676
2023-03-28 16:59:02,26991.4,1744.02,1.0616,0.5682
2023-03-28 17:00:03,26997.86,1744.02,1.0619,0.5684
2023-03-28 17:01:02,26988.02,1743.41,1.0608,0.5673
2023-03-28 17:02:03,26987.5,1743.71,1.0604,0.5673
2023-03-28 17:03:03,26993.66,1744.72,1.0615,0.5679
2023-03-28 17:04:03,26973.19,1742.96,1.0599,0.5669
2023-03-28 17:05:03,26965.63,1742.32,1.0591,0.5664
2023-03-28 17:06:02,26946.03,1740.21,1.0579,0.5658
2023-03-28 17:07:02,26941.91,1741.04,1.0583,0.5661
2023-03-28 17:08:02,26947.89,1741.81,1.0595,0.5665
2023-03-28 17:09:03,26931.6,1741.02,1.059,0.5656
2023-03-28 17:10:02,26908.02,1739.73,1.059,0.5652
2023-03-28 17:11:02,26926.31,1740.63,1.0601,0.5655
2023-03-28 17:12:03,26927.52,1741.0,1.0615,0.5654
2023-03-28 17:13:03,26936.98,1740.67,1.0612,0.5652
2023-03-28 17:14:02,26903.28,1739.01,1.0594,0.5646
2023-03-28 17:15:02,26925.74,1740.12,1.0599,0.5649
2023-03-28 17:16:02,26906.56,1739.0,1.0583,0.5643
2023-03-28 17:17:02,26885.99,1737.63,1.0575,0.5635
2023-03-28 17:18:03,26900.38,1737.36,1.0573,0.5641
2023-03-28 17:19:03,26877.98,1735.06,1.0549,0.5627
2023-03-28 17:20:03,26885.34,1736.43,1.0558,0.5635
2023-03-28 17:21:03,26886.43,1736.34,1.0551,0.5639
2023-03-28 17:22:03,26925.17,1738.16,1.0572,0.5647
2023-03-28 17:23:02,26910.02,1737.79,1.0567,0.5644
2023-03-28 17:24:02,26886.0,1736.37,1.0552,0.5641
2023-03-28 17:25:03,26892.1,1736.47,1.0558,0.5642
2023-03-28 17:26:03,26896.5,1737.01,1.057,0.5644
2023-03-28 17:27:03,26885.99,1736.43,1.0574,0.5643
2023-03-28 17:28:03,26906.99,1737.4,1.0584,0.565
2023-03-28 17:29:02,26902.75,1737.3,1.0586,0.5646
2023-03-28 17:30:02,26907.57,1737.56,1.0586,0.5648
2023-03-28 17:31:02,26898.72,1736.85,1.0588,0.5645
2023-03-28 17:32:02,26884.5,1735.21,1.0578,0.564
2023-03-28 17:33:02,26904.35,1736.28,1.058,0.564
2023-03-28 17:34:02,26912.36,1737.42,1.0584,0.5644
2023-03-28 17:35:02,26912.79,1737.52,1.0585,0.5645
2023-03-28 17:36:02,26912.53,1737.17,1.0579,0.564
2023-03-28 17:37:02,26912.3,1736.8,1.0576,0.564
2023-03-28 17:38:02,26914.28,1736.87,1.0583,0.564
2023-03-28 17:39:02,26920.02,1737.76,1.0585,0.5644
2023-03-28 17:40:02,26908.04,1736.73,1.0575,0.5636
2023-03-28 17:41:02,26921.99,1738.18,1.0586,0.5641
2023-03-28 17:42:03,26930.08,1738.38,1.0591,0.5647
2023-03-28 17:43:03,26913.6,1736.76,1.0581,0.5643
2023-03-28 17:44:03,26911.02,1736.7,1.0579,0.5643
2023-03-28 17:45:03,26918.1,1737.18,1.0581,0.5646
2023-03-28 17:46:02,26914.8,1736.96,1.0574,0.564
2023-03-28 17:47:02,26925.53,1738.3,1.0591,0.5649
2023-03-28 17:48:02,26906.01,1737.0,1.058,0.5644
2023-03-28 17:49:03,26926.78,1738.28,1.0592,0.5651
2023-03-28 17:50:03,26914.93,1737.49,1.0586,0.5647
2023-03-28 17:51:03,26896.01,1736.29,1.0575,0.564
2023-03-28 17:52:02,26898.39,1736.3,1.0578,0.5641
2023-03-28 17:53:03,26876.01,1734.55,1.0567,0.5635
2023-03-28 17:54:03,26875.2,1734.23,1.0564,0.5636
2023-03-28 17:55:03,26866.99,1734.17,1.0568,0.5638
2023-03-28 17:56:02,26864.49,1733.94,1.0564,0.5632
2023-03-28 17:57:02,26871.0,1734.2,1.0566,0.5634
2023-03-28 17:58:02,26876.6,1734.67,1.0561,0.5636
2023-03-28 17:59:02,26878.71,1735.07,1.0558,0.5637
2023-03-28 18:00:02,26883.06,1735.36,1.0568,0.5642
2023-03-28 18:01:02,26866.48,1734.92,1.0563,0.5638
2023-03-28 18:02:02,26868.53,1735.7,1.0579,0.5645
2023-03-28 18:03:02,26897.19,1736.91,1.0584,0.5647
2023-03-28 18:04:02,26883.82,1735.92,1.0578,0.5641
2023-03-28 18:05:02,26864.73,1734.85,1.0569,0.5638
2023-03-28 18:06:03,26856.44,1735.12,1.0568,0.5639
2023-03-28 18:07:02,26893.33,1737.03,1.0587,0.5651
2023-03-28 18:08:02,26901.2,1737.16,1.0589,0.5649
2023-03-28 18:09:02,26910.59,1738.44,1.0593,0.5649
2023-03-28 18:10:02,26904.34,1738.14,1.0586,0.5645
2023-03-28 18:11:02,26901.01,1737.23,1.0582,0.5644
2023-03-28 18:12:02,26897.1,1736.72,1.0574,0.5645
2023-03-28 18:13:02,26875.48,1735.59,1.0571,0.5638
